topic_index,topic_id,topic_title,tag_id,tag_name,level,is_new,topic_is_show,question_index,question_id,part,question_is_show,content
11,1715,听过的歌/提高注意力/节约时间的方法&改变,19,事物,0,0,0,1,5411,4,1,Describe a song you have listened to recently You should say: What the song is about Where you heard the song What country the song is from And explain how you feel about the song； Describe something you do that can help you concentrate on work/study You should say: What it is How it helps you concentrate When you do it And explain how you feel about it； Describe a way/change that helps you save a lot of time You should say What it is How you implement it How difficult it is And explain how you feel about the way/change
12,1714,有用的发明/使用困难的科技产品/坏掉又修好的东西/征求意见,19,事物,0,0,0,1,5410,4,1,Describe an invention that is useful in your daily life You should say: What the invention was What it can do How popular it is Whether it is difficult or easy to use And explain why it is useful； Describe a difficult decision that you once made and had a good result You should say: What the decision was When you made your decision How long it took to make the decision And explain why it was difficult to make； Describe something that was broken in your home and then repaired You should say: What it is How it was broken How you got it repaired And how you felt about it or Describe something in your home you broke and then repaired You should say: What it is How you broke it How you repaired it And how you felt about it； Describe a time when someone asked for your opinion You should say: Who asked for your opinion Why he/she wanted to know your opinion What opinion you gave And explain how you felt when he/she asked for your opinion
13,1713,困难决定终成功/努力实现目标/印象深刻的谈话/重要决定,21,地点,1,0,0,1,5409,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
14,1712,快乐活动/有趣的讨论/想参加的比赛,20,事件,0,0,0,1,5408,4,1,Describe a time when you organized a happy event successfully You should say: How you prepared for it Who helped you to organized it And explain why you think it was a successful event; Describe an interesting discussion you had with your friend You should say: What the discussion was about What opinions you and your friend had Why you think the discussion was interesting And how you felt about it； Describe a contest/competition you would like to participate in You should say: What the contest/competition is about Where the contest/competition will take place When it will be held And explain why you would like to participate in it
15,1711,不喜欢并想改变的规则/对社会有贡献的人,18,人物,0,0,0,1,5407,4,1,Describe a rule you dislike and would like to change in the future You should say: What it is What it is for Why you don't like it And explain why you would like to change it； Describe a person who contributes to the society You should say: Who the person is How you knew him/her What type of work he/she does And explain why you think he/she contributes to the society
16,1710,一个去过的新地方/去过的乡村,21,地点,0,0,0,1,5406,4,1,Describe a new place you visited You should say: Where it is When you went there Why you went there And explain how you feel about the place； Describe a countryside that you have been to You should say: Where it is When you went there Who you went there with And explain why you went there
17,1208,社交媒体上常刷到的人/保健方式,18,人物,2,0,0,1,3501,4,1,Describe something you do to keep fit and healthy You should say: What it is When you do it Who you do it with And explain why you think this method is important Describe a person who you follow on social media You should say: Who he/she is How you knew him/her What he/she posts on social media And explain why you follow him/her on social media
18,1207,未来想一起共事的家人/传统产品,18,人物,1,0,0,1,3500,4,1,Describe a family member who you want to work with in the future You should say: Who he/she is Whether you worked together before? What kind of work you would like to do with him/her And explain how you feel about this family member Describe a traditional product in your country You should say: What it is When you tried this product for the first time What it is made of And explain how you feel about it
19,1205,交通拥堵/用手机做重要事情,20,事件,2,0,0,1,3498,4,1,Describe a time when you were stuck in a traffic jam You should say: When it happened Where you were stuck What you did while waiting And explain how you felt in the traffic jam Describe a time you used your cellphone to do something important You should say: What happened When it happened How important the cellphone was And explain how you felt about the experience
20,1203,重要的河流&湖泊/安静的地方,21,地点,3,0,0,1,3496,4,1,Describe an important river/lake in your country You should say: Where it is located How big/long it is What it looks like And explain why it is important Describe a quiet place You should say: Where it is How you knew it How often you go there What you do there And explain how you feel about the place
21,1201,有趣的邻居/受欢迎的名人,18,人物,1,0,0,1,3494,4,1,Describe a neighbor you are interested in You should say: Who he/she is How you knew him/her What you do together And explain why you are interested in him/her Describe a popular well-known person in your country You should say: Who this person is What he/she has done Why he/she is popular And explain how you feel about this person
22,1200,庆祝过的活动/花费甚少的外出日,20,事件,3,0,0,1,3493,4,1,Describe an important event you celebrated You should say: What the event was When it happened Who attended the event And explain how you feel about the event Describe a special day out that cost you little money/didn’t cost you much You should say: When was the day Where you went How much you spent And explain how you feel about the day
23,1199,喜欢一起聊天的朋友/学习、工作中的积极建议,18,人物,2,0,0,1,3492,4,1,Describe a friend you like to talk with You should say Who he/she is What you like to talk about Why you like to talk with her And explain how you feel about him/her Describe an occasion when someone gave you positive advice or suggestions about your work/study You should say: Who the person is What he/she said How the advice/suggestion affected you And explain how you felt about the advice/suggestion
24,1198,丢东西的经历/惊喜之事,20,事件,3,0,0,1,3491,4,1,Describe an occasion that you lost something You should say: What you lost When and where you lost it What you did to find it And explain how you felt about it Describe something that surprised you You should say: what it is How you found out about it What you did And explain whether it made you happy
25,1157,送朋友的礼物/别人给你的衣服,19,事物,1,0,0,1,3360,4,1,送朋友的礼物 Describe a gift you gave to a friend You should say: When it happened What gift it was Who you gave it to And explain why you chose that gift 别人给你的衣服 Describe an item of clothing that someone gave you You should say: What the clothing was Who gave it to you When you got it And explain why this person gave you the clothing
26,1156,一见且想再见的人/有趣的城市,18,人物,3,0,0,1,3359,4,0,一见且想再见的人（确认新题） Describe a person you only met once and want to know more again You should say: Who he/she is When you met him/her Why you want to know more about him/her And explain how you feel about him/her 有趣的城市（确认新题） Describe a city that you think is interesting You should say: Where it is What the city is famous for Why it is interesting And explain how you feel about it
27,1153,别人讲述的故事/收到特殊蛋糕,19,事物,1,0,0,1,3356,4,1,别人讲述的故事 Describe a story someone told you and remember You should say: What the story was about Who told you this story Why you remember it And how you feel about it 收到特殊蛋糕 Describe a special cake you received from others You should say When it happened Where it happened Who you got the cake from And explain why it’s a special cake
28,1152,语言学习/向长者学习技能,20,事件,2,0,0,1,3355,4,1,语言学习 Describe something that helped you learn a language You should say What it is What language you learned How it helped you learn the language And how you felt about it 向长者学习技能 Describe a skill that you can learn from older people You should say: Why the skill can be learned from older people How you will learn the skill from older people And explain how you will feel if you master the skill
29,1150,童年玩具/生活中离不开的东西,19,事物,1,0,1,1,3353,4,1,童年玩具 Describe the toy you played with as a child You should say: What it was What it was like How you played with it And explain why you played with it 生活中离不开的东西 Describe something that you can't live without (not a computer/phone) You should say: What it is What you do with it How it helps you in your life And explain why you can't live without it
30,1142,远距离步行/想共度时光的人/计划多人活动/照片/美丽天空/户外运动的地方,18,人物,1,0,1,1,3336,4,1,远距离步行/想共度时光的人/计划多人活动/照片/美丽天空/户外运动的地方 Describe an outdoor sport you would like to do Describe a photo that you enjoy looking at Describe a time when you and some other people made a plan to do an activity Describe a beautiful sky you enjoyed seeing Describe a place you went to and an outdoor activity you did there
31,1879,给别人建议 + 擅长做计划的人 + 乐于助人的人+ 鼓励保护自然的人,18,人物,1,0,1,1,6092,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
32,1878,自行车/摩托车/汽车旅行 + 外国的短期停留 + 想见的名人 + 花费超过预期的物品,20,事件,1,0,1,1,6091,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
33,1877,喜欢画画的孩子 + 最近读过的故事 + 有趣的建筑 + 不享受的音乐活动,19,事物,1,0,1,1,6090,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
34,1876,朋友学的技能 + App/程序 + 机智解决问题的人 + 鼓励别人做不愿做的事,18,人物,1,0,1,1,6089,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
35,1875,商场 + 禁用手机的场合 + 微笑的场合 + 近期观影,21,地点,1,0,1,1,6088,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
36,1874,完美工作 + 想拥有的科技产品 + 擅长做计划的人 + 发挥想象力,20,事件,1,0,1,1,6087,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
37,1873,让你骄傲的家人 + 对家庭重要的东西 + 鼓励你保护自然的人 + 乐于助人的人,18,人物,1,0,1,1,6086,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
38,1820,二手物品网站/商店/购物服务/见过产品的广告,19,事物,1,0,0,1,5925,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
39,1819,想再看的电影/奇装异服的人/熊孩子/搞笑电影/有趣小说or故事,19,事物,1,0,0,1,5924,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
40,1818,有用的书/别人向你道歉/演讲经历/告诉朋友实情/朋友的争执/印象深刻的谈话/感兴趣的科学领域/有趣老人/学科,20,事件,1,0,0,1,5923,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
41,1817,有好习惯的朋友/经营家族企业的人/重要的好朋友/聪明的人/钦佩的创作者/喜欢的歌手或乐队/爱唱歌的朋友,18,人物,1,0,0,1,5922,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
42,1816,和亲友享受的晚餐/社交媒体趣事/家中老物件/突然停电/传统故事,20,事件,1,0,0,1,5921,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
43,1815,自然之地/想去的多树之地/想了解更多的野生动物/迷路/想再去的旅行/第一次用外语/远行/旅途中的有趣建筑/美丽天空/等待特别事情/想再去一次的城市/决意等待/计划多人活动/户外活动之地,20,事件,1,0,0,1,5920,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
44,1814,健康文章/童年的玩具/弄坏东西/别人帮忙下做的决定水上运动/教别人的技能/近期日常改变/第一次尝试的兴奋活动/想提升的天赋/想看的体育赛事/钦佩的运动员/激励你做有趣事情的人/天空/发小,19,事物,1,0,0,1,5919,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
45,1796,想见的名人/时尚人士/奇装异服的人/喜欢的歌手,18,人物,1,0,1,1,5784,4,1,想见的名人/奇装异服的人/喜欢的歌手 Describe a famous person you would like to meet. Describe a person who you think wears unusual clothes. Describe a singer you like
46,1795,难用的科技产品/见过产品的广告/商店/二手物品网站/信息搜索/,19,事物,1,0,0,1,5783,4,1,难用的科技产品/见过产品的广告/商店/二手物品网站/信息搜索/ Describe a piece of technology you own that you feel is different to use Describe an advertisement which introduced a product you have seen. Describe a shop/store you enjoy visiting. Describe a website that sells second - hand items. Describe a time when you needed to search for information
47,1794,想参观的不寻常建筑/看见动物的地方,21,地点,2,0,0,1,5782,4,1,同学可以结合题库的具体问题，练习素材。 1. 为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2. 针对不同的问法，同学的开头和结尾需要进行调整。 3. 一定要注意表达的自然程度～必要时增加重音，表情和手势
48,1771,想退的货/智力游戏,18,人物,0,0,0,1,5631,4,1,"Describe something you bought that you really wanted to return You should say: What it is When and where you bought itWhy you wanted to return it And explain whether you returned it in the end； Describe a(jigsaw, crossword, etc)puzzle you have played You should say: What it is like How easy or difficult it is How long it takes you to solve And how you feel about it"
49,1770,最喜欢的运动/仰慕的运动员或体育队,18,人物,0,0,0,1,5630,4,1,Describe an athlete/sports team you admire You should say: Who/what the athlete/sports team is Where/how you got to know the athlete/sports team How often you watch their sports games And explain why you admire the athlete/sports team； Describe a sport that you really like You should say: What it is How often you do it How you learned to do it And explain why you like it
50,1769,外国食物/朋友做过的趣事,20,事件,2,0,0,1,5629,4,1,Describe a kind of foreign food you like and you have had You should say: When you had it？ Where you ate it？ What it was？ And explain how you felt about it？； Describe something interesting that your friend has done but you've never done before You should say: What it was Where your friend did it When your friend did it And explain why it was interesting
51,1768,环保人士 /想去的多树之地,18,人物,0,0,0,1,5628,4,1,"Describe a person who helps to protect the environment You should say: Who this person is When this person does this What has the person done And explain why you think this person does this； Describe a place with a lot of trees that you would like to visit(e.g. a forest, oasis) You should say: Where it is How you knew this place What it is like And explain why you would like to visit it"
52,1767,陌生人的电话/想修改的新法律,20,事件,0,0,0,1,5627,4,1,Describe a time when you answered a phone call from someone you didn't know in a public place You should say: Where it happened What he/she said How you corresponded And explain how you felt about the experience； Describe a newly enacted law that you like but you want to change part of it You should say: When it was enacted What the law is about Which part you want to change And explain why you want to change the part
53,1766,现场表演\不用工作或学习的一天,19,事物,0,0,0,1,5626,4,1,Describe a live performance you enjoyed watching You should say: Who performed in it What kind of performance it was When you watched it And explain why you enjoyed watching it； Describe a time you enjoyed a free day off work or school You should say: Where you were What you did Who you were with And how you felt about it
54,1755,家庭重要设备/喜欢的电视剧,19,事物,0,0,1,1,5570,4,1,Describe a piece of equipment that is important in your home You should say: What it is How often you use it With whom you use it And expDescribe a TV series you like You should say: What is the name of the TV series When you watched it What it is about And explain why you like it.lain why it is important；
55,1754,有趣的建筑/和你分享东西的人,19,事物,0,0,1,1,5569,4,1,Describe an interesting building You should say. Where it is What it looks like What function it has And explain why you think it is interesting； Describe someone who is willing to openly share things with you You should say: Who this person is How you knew this person What this person openly shares And how you feel about the sharing
56,1748,精力充沛的人\祖辈工作,19,事物,2,0,0,1,5540,4,1,Describe an energetic person that you know You should say: Who this person is How you knew this person Why you think this person is energetic And explain how you feel about this person； Describe one of your grandparents’ job You should say: what it was how long he or she had this job how he or she got the job what skills this job needs and whether you would like to have this job in thefuture
57,1747,感兴趣的科学学科\诗句或歌词\近期计划的改变,19,事物,0,0,0,1,5539,4,1,Describe a science subject that you are interested in You should say: What it is Where you got to know it How you have learned it And explain why you are interested in it； Describe a line(or a few words) that you remember from a poem or song You should say: What it is Which song or poem it is from How you knew it And explain how you feel about it； Describe a positive change that you have made recently in your daily routine You should say: What the change is How you have changed the routine Why you think it is a positive change And explain how you feel about the change
58,1746,许下的承诺\学校/工作中的重要规则,20,事件,0,0,0,1,5538,4,1,Describe a time you made a promise to someone You should say: What the promise was To whom you made it Whether it was easy or difficult to keep And explain why you made it； Describe a rule that is important in your school or at work You should say: What the rule is about What happens when people break the rule Why you think it is an important rule And explain how you feel about the rule
59,1743,弄丢贵重物品\少年的榜样,20,事件,0,0,0,1,5532,4,1,Describe a time when you lost a valuable item You should say: When and where it happened What it was How valuable it was How you lost it And explain how you felt about the experience； Describe someone (a famous person) that is a role model for young people You should say: Who he/she is How you knew him/her What he/she has done And explain why he/she can be a role model for young people
60,1742,想去的外国/重要决定/近期日常改变,21,地点,0,0,0,1,5531,4,1,Describe an important decision that you made You should say: What the decision was How you made your decision What the results of the decision were And explain why it was important; Describe a foreign country you would like to visit in the future You should say: What it is What you have known about it Who you would like to go there with And explain why you would like to visit it； Describe a positive change that you have made recently in your daily routine You should say: What the change is How you have changed the routine Why you think it is a positive change And explain how you feel about the change
61,1741,学校、工作中的重要规则/忘记重要事情,20,事件,0,0,0,1,5530,4,1,Describe an occasion when you forgot something important You should say: When it was What you forgot Why you forgot it And how you felt about it； Describe a rule that is important in your school or at work You should say: What the rule is about What happens when people break the rule Why you think it is an important rule And explain how you feel about the rule
62,1740,交通工具抛锚/感兴趣的科学学科,19,事物,0,0,0,1,5529,4,1,Describe a time when the vehicle you took broke down on your trip You should say: Where it happened When it happened Who you were with at that time And what impacts this breakdown had； Describe a science subject that you are interested in You should say: What it is Where you got to know it How you have learned it And explain why you are interested in it
63,1739,精力充沛的人/乡村一隅/别人家的好房子/安静的地方/想共度时光的人/理想房屋,18,人物,1,0,0,1,5528,4,1,"精力充沛的人/乡村一隅/别人家的好房子/安静的地方/想共度时光的人/理想房屋 Describe an energetic person that you know Describe a place in a village that you visited Describe a person's house/apartment that you think is very good Describe a quiet place Describe someone you really like to spend time with Describe an ideal and perfect place where you would like to stay, e.g. a house or an apartment"
64,1709,【疑似淘汰】容易学习的地方\历史建筑,21,地点,0,0,0,1,5405,4,1,Describe a historical building you have been to You should say: Where it is What it looks like What it is used for now what you learned there And how you felt about this historical building； Describe an indoor or outdoor place where it was easy for you to study You should say: Where it is When you go there What you study there Who you go with Why you would study in this place
65,1708,【疑似淘汰】喜欢买便宜货的人\ 音乐爱好者,18,人物,0,0,0,1,5404,4,1,Describe a person who likes to buy goods with low prices You should say: Who this person is What this person likes to buy Where this person likes to buy things And explain why this person likes cheap goods； Describe a person who thinks music is important and enjoys music You should say: Who this person is How you knew him/her What music he/she likes Why he/she thinks music is important And explain how you feel about him/her
66,1707,【疑似淘汰】别人做的好决定\看过并想尝试的运动,20,事件,0,0,0,1,5403,4,1,Describe someone you know who made a good decision recently You should say: Who he/she is When he/she made the decision What decision he/she made Why it was a good decision And explain how you felt about the decision; Describe a sport you watched and would like to try You should say: When and where you watched it Why you watched it Who you watched it with Whether you will do it in the future And explain how you felt about it
67,1706,看到野生动物的地方/公园&花园,21,地点,0,0,0,1,5400,4,1,Describe a place you have been to where you can see wild animals You should say: Where it is When you went there What animals you saw there How you feel about the place； Describe a public park or garden You should say: Where it is What it is like How often you go there What you often do there And explain how you feel about it
68,1691,帮助家人/喜欢做手工的人/向小辈展示新东西,18,人物,0,0,0,1,5309,4,1,"Describe a time when you helped a family member You should say: When it happened Who you helped How you helped And explain how you felt about the experience； Describe a person who likes to make things by hand (e.g. toys, furniture) You should say: Who this person is What he/she makes Why he/she likes to make things by hand And explain how you feel about the person； Describe a time that you showed something which was new to a person who was younger than you You should say: When it was What it was Who you showed it to How you showed it Why you showed it And explain how you felt about it"
69,1688,【疑似淘汰】想换掉的东西/少年的榜样,19,事物,0,0,0,1,5294,4,1,Describe something you own that you want to replace You should say: What it is Where it is How you got it And explain why you want to replace it； Describe someone (a famous person) that is a role model for young people You should say: Who he/she is How you knew him/her What he/she has done And explain why he/she can be a role model for young people
70,1687,【疑似淘汰】聚会\很开心认识的人,20,事件,0,0,0,1,5293,4,1,Describe a party that you enjoyed You should say: When you went to the party Where the party was held What kind of party it was And explain why you enjoyed this party； Describe a person who you are happy to know You should say： Who the person is How you know this person What he or she is like And explain why it is happy to know this person
71,1686,【疑似淘汰】宜居之城\描述一种植物,21,地点,0,0,0,1,5292,4,1,Describe a place (city/town) that is good for people to live in You should say: Where it is How you knew this place What it is like And explain why it is better than other places to live in; Describe an important plant in your country You should say: What it is Where you see it What it looks like Why it is important
72,1685,历史建筑\让你骄傲的事,21,地点,0,0,0,1,5291,4,1,Describe a historical building you have been to You should say: Where it is What it looks like What it is used for now what you learned there And how you felt about this historical building； Describe something you did that made you feel proud You should say: What it was How you did it What difficulty you had How you dealt with the difficulty And explain why you felt proud of it
73,1684,看过但是从未参加过的运动\别人做的好决定\看过并想尝试的运动,20,事件,0,0,0,1,5290,4,1,Describe a sport that you only have watched before but had not played by yourself You should say: What it is When you watched it Where you watched it Who you watched it with And explain how you felt about it; Describe someone you know who made a good decision recently You should say: Who he/she is When he/she made the decision What decision he/she made Why it was a good decision And explain how you felt about the decision; Describe a sport you watched and would like to try You should say: When and where you watched it Why you watched it Who you watched it with Whether you will do it in the future And explain how you felt about it
74,1683,【疑似淘汰】和朋友去的有趣地方\少人去的景点\ 别人做的特殊一餐,21,地点,0,0,0,1,5289,4,1,Describe an interesting place you have been to with a friend You should say: What and where the place is Who you went with When you went there What you did there And explain why you think it is interesting; Describe a tourist attraction that very few people visit but you think is interesting You should say: What the place is What people can see there Why only very few people visit there And explain why you think it is interesting; Describe a special meal that someone made for you You should say: Who did it When and how he/she cooked What and why he/she cooked for you And explain how you felt about the meal
75,1682,教他人做事\教晚辈,20,事件,0,0,0,1,5288,4,1,Describe a time when you taught a friend/relative something You should say: Who you taught What you taught What the result was And explain how you felt about the experience; Describe a time you taught something new to a younger person You should say. When it happened What you taught Who you taught Why you taught this person And how you felt about the teaching
76,1681,【疑似淘汰】嘈杂地\新法律,21,地点,0,0,0,1,5287,4,1,Describe a noisy place you have been to You should say: What it is When you went there What you did there And explain why you feel it's a noisy place； Describe a new law you would like to introduce You should say What law it is What changes this law has Whether this new law will be popular How you came up with the new law And explain how you feel about this new law
77,1680,喜欢买便宜货的人\ 音乐爱好者\居住地发展,18,人物,0,0,0,1,5286,4,1,"Describe a person who likes to buy goods with low prices You should say: Who this person is What this person likes to buy Where this person likes to buy things And explain why this person likes cheap goods； Describe a person who thinks music is important and enjoys music You should say: Who this person is How you knew him/her What music he/she likes Why he/she thinks music is important And explain how you feel about him/her； Describe a new development in the area where you live (e.g.shopping mall, park...) You should say: What the development is When/where you noticed it How long it took to complete it how you feel about it and explain how it has improved the area you live in"
78,1679,【疑似淘汰】自然之地/愉悦的公共交通之旅/ 经常拍照的地方/喜欢的照片&画,21,地点,0,0,0,1,5285,4,1,"Describe a natural place (e.g. parks, mountains) You should say: Where this place is How you knew this place What it is like And explain why you like to visit it； Describe an enjoyable journey by public transport You should say: Where you went Who you were with What you did And how you felt about it； Describe a place where you have taken photos more than once You should say: Where the place is When you took the photos What special features the photos taken there have And explain why you have been there more than once to take photos； Describe a picture/photograph of you that you like You should say: Where it was taken/drawn When it was taken/drawn Who took/drew it And explain how you felt about it"
79,1678,【疑似淘汰】助你实现目标的人\有趣的老人,18,人物,0,0,0,1,5284,4,1,Describe a person who encouraged and helped you to achieve a goal You should say: who this person is what this person encouraged you to do how this person helped you And explain why this encouragement helped you to achieve your goal; Describe an interesting old person you met You should say: Who this person is When/where you met this person What you did with this person And explain why you think this person is interesting
80,1677,家里让你放松的地方\ 容易学习的地方,21,地点,0,0,0,1,5283,4,1,Describe your favorite place in your house where you can relax You should say: Where it is What it is like What you enjoy doing there And explain why you feel relaxed at this place； Describe an indoor or outdoor place where it is easy for you to study You should say: Where it is What it is like When you go there What you study there And explain why you would like to study in this Place
81,1676,【疑似淘汰】迟到\冒风险,20,事件,0,0,0,1,5282,4,1,Describe a time when you missed or were late for a meeting/event You should say: When it happened What happened Why you missed/were late for it And explain how you felt about this experience； Describe a risk you took that you thought would lead to a terrible result but ended up with a positive result You should say: When you took the risk Why you took the risk How it went And explain how you felt about it
82,1674,优质服务/和亲友去的地方,20,事件,0,0,0,1,5279,4,1,Describe a shop where you received a good service from one of the staff You should say: Where the shop is When you received the good service What service you received And explain how you felt about the service； Describe a place in your hometown/city that is different from other places and that you enjoy visiting with your parents/friends You should say: Where it is What it is like What you often do there Who you often go there with And explain why you think it is different
83,1673,别人家的房间/近期观影,21,地点,0,0,0,1,5278,4,1,Describe a room you really like in another person's home You should say: Where it is What it is like What you can do in it And explain why you really like it； Describe a movie you watched recently You should say: When and where you watched it Who you watched it with What it was about And explain why you chose to watch this movie
